,Cases,Alpha3
Tonga,1472.6280493150684,TON
Trinidad and Tobago,1119.9984191780823,TTO
Tunisia,791.8974301369863,TUN
Turkey,1675.101009589041,TUR
Turkmenistan,0.0,TKM
Tuvalu,2350.9435657534245,TUV
Uganda,27.767821917808217,UGA
Ukraine,1049.1846671232877,UKR
United Kingdom,3108.4341000000004,GBR
United States,2282.3241068493153,USA
Uruguay,2793.8290246575343,URY
Uzbekistan,46.32378493150684,UZB
Vanuatu,352.51919452054796,VUT
Venezuela,148.69628767123288,VEN
Vietnam,1125.3269452054794,VNM
Wallis and Futuna,2820.646710958904,WLF
Yemen,2.8031575342465755,YEM
Zambia,150.74808904109588,ZMB
Zimbabwe,145.24860136986302,ZWE
