,Zone de référence,Secteur institutionnel,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,CURRENCY
3385,Finland,Ménages,2008-12-01,-0.00937296759631201,Millions,EUR
3386,Finland,Ménages,2009-03-01,-0.02745809840117397,Millions,EUR
3387,Finland,Ménages,2009-06-01,-0.006154945796767675,Millions,EUR
3388,Finland,Ménages,2009-09-01,0.006432795269298408,Millions,EUR
3389,Finland,Ménages,2009-12-01,0.010202866330541127,Millions,EUR
3390,Finland,Ménages,2010-03-01,0.0027902224318163693,Millions,EUR
3391,Finland,Ménages,2010-06-01,0.017282595916447763,Millions,EUR
3392,Finland,Ménages,2010-09-01,0.010362893905539794,Millions,EUR
3393,Finland,Ménages,2010-12-01,0.015251458420711517,Millions,EUR
3394,Finland,Ménages,2011-03-01,-0.002215795996544867,Millions,EUR
3395,Finland,Ménages,2011-06-01,0.01866907557964459,Millions,EUR
3396,Finland,Ménages,2011-09-01,0.0031776529707361334,Millions,EUR
3397,Finland,Ménages,2011-12-01,-0.0025782688766113893,Millions,EUR
3398,Finland,Ménages,2012-03-01,0.029837518463810886,Millions,EUR
3399,Finland,Ménages,2012-06-01,-0.048515490533562855,Millions,EUR
3400,Finland,Ménages,2012-09-01,0.011984171848501868,Millions,EUR
3401,Finland,Ménages,2012-12-01,0.00830447249841737,Millions,EUR
3402,Finland,Ménages,2013-03-01,-0.007719013148175469,Millions,EUR
3403,Finland,Ménages,2013-06-01,0.002679867495440469,Millions,EUR
3404,Finland,Ménages,2013-09-01,-3.712090278040758e-05,Millions,EUR
3405,Finland,Ménages,2013-12-01,-0.0016333803548890247,Millions,EUR
3406,Finland,Ménages,2014-03-01,0.0022309808879303894,Millions,EUR
3407,Finland,Ménages,2014-06-01,0.00018550122430815996,Millions,EUR
3408,Finland,Ménages,2014-09-01,0.004747950591639238,Millions,EUR
3409,Finland,Ménages,2014-12-01,-0.005980728762875143,Millions,EUR
3410,Finland,Ménages,2015-03-01,0.006685236768802172,Millions,EUR
3411,Finland,Ménages,2015-06-01,0.0011437004242760285,Millions,EUR
3412,Finland,Ménages,2015-09-01,0.008328419811320709,Millions,EUR
3413,Finland,Ménages,2015-12-01,0.006395731306191088,Millions,EUR
3414,Finland,Ménages,2016-03-01,0.007408214402440327,Millions,EUR
3415,Finland,Ménages,2016-06-01,0.007930499981976036,Millions,EUR
3416,Finland,Ménages,2016-09-01,-0.0018597331998140287,Millions,EUR
3417,Finland,Ménages,2016-12-01,0.002436490021140214,Millions,EUR
3418,Finland,Ménages,2017-03-01,0.009722271866175802,Millions,EUR
3419,Finland,Ménages,2017-06-01,-0.007256894049346929,Millions,EUR
3420,Finland,Ménages,2017-09-01,0.005384395949222576,Millions,EUR
3421,Finland,Ménages,2017-12-01,0.008512147543890736,Millions,EUR
3422,Finland,Ménages,2018-03-01,0.013996834886583542,Millions,EUR
3423,Finland,Ménages,2018-06-01,0.0007283321194464509,Millions,EUR
3424,Finland,Ménages,2018-09-01,-0.01025854300963469,Millions,EUR
3425,Finland,Ménages,2018-12-01,0.0073534561243784324,Millions,EUR
3426,Finland,Ménages,2019-03-01,0.007647385984427046,Millions,EUR
3427,Finland,Ménages,2019-06-01,-0.0006899406651027506,Millions,EUR
3428,Finland,Ménages,2019-09-01,0.007560066280033251,Millions,EUR
3429,Finland,Ménages,2019-12-01,-0.0013362113269606013,Millions,EUR
3430,Finland,Ménages,2020-03-01,-0.001681075888568695,Millions,EUR
3431,Finland,Ménages,2020-06-01,-0.09742602838585523,Millions,EUR
3432,Finland,Ménages,2020-09-01,0.08277490100517815,Millions,EUR
3433,Finland,Ménages,2020-12-01,-0.0033757648217174197,Millions,EUR
3434,Finland,Ménages,2021-03-01,0.0008467998024133117,Millions,EUR
3435,Finland,Ménages,2021-06-01,0.019777198054008238,Millions,EUR
3436,Finland,Ménages,2021-09-01,0.014000760535140211,Millions,EUR
3437,Finland,Ménages,2021-12-01,0.004602481930996882,Millions,EUR
3438,Finland,Ménages,2022-03-01,-0.009807581362201834,Millions,EUR
3439,Finland,Ménages,2022-06-01,0.01610802659538013,Millions,EUR
3440,Finland,Ménages,2022-09-01,-0.0037439287641661823,Millions,EUR
3441,Finland,Ménages,2022-12-01,-0.013643904255679296,Millions,EUR
3442,Finland,Ménages,2023-03-01,0.0008581039335484597,Millions,EUR
3443,Finland,Ménages,2023-06-01,-0.008299324393840624,Millions,EUR
3444,Finland,Ménages,2023-09-01,-0.0032161012553169055,Millions,EUR
3445,Finland,Ménages,2023-12-01,0.004579517069108974,Millions,EUR
7122,Norway,Ménages,1978-03-01,,Millions,NOK
7123,Norway,Ménages,1978-06-01,-4.044260385660525e-05,Millions,NOK
7124,Norway,Ménages,1978-09-01,0.01993901008679333,Millions,NOK
7125,Norway,Ménages,1978-12-01,-0.017098626399771555,Millions,NOK
7126,Norway,Ménages,1979-03-01,0.027247934417764075,Millions,NOK
7127,Norway,Ménages,1979-06-01,0.02128612160580623,Millions,NOK
7128,Norway,Ménages,1979-09-01,-0.0011459511009590528,Millions,NOK
7129,Norway,Ménages,1979-12-01,0.011642053066818647,Millions,NOK
7130,Norway,Ménages,1980-03-01,0.00662171007565493,Millions,NOK
7131,Norway,Ménages,1980-06-01,-0.01022259859666097,Millions,NOK
7132,Norway,Ménages,1980-09-01,0.010771252215364013,Millions,NOK
7133,Norway,Ménages,1980-12-01,0.016143416418519685,Millions,NOK
7134,Norway,Ménages,1981-03-01,-0.028047601338787698,Millions,NOK
7135,Norway,Ménages,1981-06-01,0.009894474246053386,Millions,NOK
7136,Norway,Ménages,1981-09-01,-0.0013487709514139468,Millions,NOK
7137,Norway,Ménages,1981-12-01,0.029045328315401298,Millions,NOK
7138,Norway,Ménages,1982-03-01,-0.032487354558994874,Millions,NOK
7139,Norway,Ménages,1982-06-01,0.01752072917936842,Millions,NOK
7140,Norway,Ménages,1982-09-01,0.0006665917687151968,Millions,NOK
7141,Norway,Ménages,1982-12-01,-0.011496661776593475,Millions,NOK
7142,Norway,Ménages,1983-03-01,0.012130114789350888,Millions,NOK
7143,Norway,Ménages,1983-06-01,0.0007032243584947917,Millions,NOK
7144,Norway,Ménages,1983-09-01,0.014316258485093103,Millions,NOK
7145,Norway,Ménages,1983-12-01,0.0007738854207357537,Millions,NOK
7146,Norway,Ménages,1984-03-01,0.01284392859247041,Millions,NOK
7147,Norway,Ménages,1984-06-01,0.003831946948984921,Millions,NOK
7148,Norway,Ménages,1984-09-01,0.006772663069066764,Millions,NOK
7149,Norway,Ménages,1984-12-01,0.021210159004244833,Millions,NOK
7150,Norway,Ménages,1985-03-01,0.05584128281362277,Millions,NOK
7151,Norway,Ménages,1985-06-01,0.0033897400309614856,Millions,NOK
7152,Norway,Ménages,1985-09-01,0.019232303886361768,Millions,NOK
7153,Norway,Ménages,1985-12-01,0.026411942791523035,Millions,NOK
